Page,Enrollment Number,Image,Predicted Answers,Correctness,Answer Key,Total Score
3,202439003,test_2_page_042.jpg,c,❌,e,44
3,202439003,test_2_page_042.jpg,c,❌,e,44
3,202439003,test_2_page_042.jpg,d,❌,e,44
3,202439003,test_2_page_042.jpg,d,❌,b,44
3,202439003,test_2_page_042.jpg,B,✅,b,44
3,202439003,test_2_page_042.jpg,E,✅,e,44
3,202439003,test_2_page_042.jpg,b,❌,d,44
3,202439003,test_2_page_042.jpg,c,❌,b,44
3,202439003,test_2_page_042.jpg,E,✅,e,44
3,202439003,test_2_page_042.jpg,b,❌,c,44
3,202439003,test_2_page_042.jpg,c,❌,d,44
3,202439003,test_2_page_042.jpg,B,✅,b,44
4,202439004,test_2_page_043.jpg,d,❌,e,43
4,202439004,test_2_page_043.jpg,D,✅,d,43
4,202439004,test_2_page_043.jpg,d,❌,c,43
4,202439004,test_2_page_043.jpg,d,❌,c,43
4,202439004,test_2_page_043.jpg,c,❌,e,43
4,202439004,test_2_page_043.jpg,c,❌,e,43
4,202439004,test_2_page_043.jpg,c,❌,d,43
4,202439004,test_2_page_043.jpg,c,❌,d,43
4,202439004,test_2_page_043.jpg,c,❌,d,43
4,202439004,test_2_page_043.jpg,c,❌,e,43
4,202439004,test_2_page_043.jpg,d,❌,e,43
4,202439004,test_2_page_043.jpg,c,❌,e,43
4,202439004,test_2_page_043.jpg,c,❌,d,43
4,202439004,test_2_page_043.jpg,d,❌,e,43
4,202439004,test_2_page_043.jpg,c,❌,d,43
4,202439004,test_2_page_043.jpg,d,❌,e,43
4,202439004,test_2_page_043.jpg,C,✅,c,43
4,202439004,test_2_page_043.jpg,D,✅,d,43
4,202439004,test_2_page_043.jpg,b,❌,e,43
4,202439004,test_2_page_043.jpg,b,❌,c,43
4,202439004,test_2_page_043.jpg,d,❌,c,43
4,202439004,test_2_page_043.jpg,D,✅,d,43
4,202439004,test_2_page_043.jpg,d,❌,e,43
4,202439004,test_2_page_043.jpg,B,✅,b,43
4,202439004,test_2_page_043.jpg,D,✅,d,43
4,202439004,test_2_page_043.jpg,c,❌,d,43
4,202439004,test_2_page_043.jpg,e,❌,c,43
4,202439004,test_2_page_043.jpg,b,❌,d,43
4,202439004,test_2_page_043.jpg,b,❌,d,43
4,202439004,test_2_page_043.jpg,b,❌,d,43
4,202439004,test_2_page_043.jpg,b,❌,e,43
4,202439004,test_2_page_043.jpg,c,❌,d,43
4,202439004,test_2_page_043.jpg,b,❌,d,43
4,202439004,test_2_page_043.jpg,B,✅,b,43
4,202439004,test_2_page_043.jpg,D,✅,d,43
4,202439004,test_2_page_043.jpg,e,❌,c,43
4,202439004,test_2_page_043.jpg,E,✅,e,43
4,202439004,test_2_page_043.jpg,b,❌,d,43
4,202439004,test_2_page_043.jpg,b,❌,e,43
4,202439004,test_2_page_043.jpg,B,✅,b,43
4,202439004,test_2_page_043.jpg,b,❌,d,43
4,202439004,test_2_page_043.jpg,b,❌,e,43
4,202439004,test_2_page_043.jpg,B,✅,b,43
4,202439004,test_2_page_043.jpg,B,✅,b,43
4,202439004,test_2_page_043.jpg,c,❌,e,43
4,202439004,test_2_page_043.jpg,c,❌,b,43
4,202439004,test_2_page_043.jpg,d,❌,c,43
4,202439004,test_2_page_043.jpg,c,❌,d,43
4,202439004,test_2_page_043.jpg,b,❌,d,43
4,202439004,test_2_page_043.jpg,c,❌,b,43
4,202439004,test_2_page_043.jpg,a,❌,b,43
4,202439004,test_2_page_043.jpg,d,❌,e,43
4,202439004,test_2_page_043.jpg,b,❌,c,43
4,202439004,test_2_page_043.jpg,b,❌,d,43
4,202439004,test_2_page_043.jpg,e,❌,b,43
4,202439004,test_2_page_043.jpg,d,❌,b,43
4,202439004,test_2_page_043.jpg,b,❌,d,43
4,202439004,test_2_page_043.jpg,b,❌,c,43
4,202439004,test_2_page_043.jpg,a,❌,e,43
4,202439004,test_2_page_043.jpg,c,❌,e,43
4,202439004,test_2_page_043.jpg,b,❌,d,43
4,202439004,test_2_page_043.jpg,B,✅,b,43
4,202439004,test_2_page_043.jpg,d,❌,b,43
4,202439004,test_2_page_043.jpg,a,❌,b,43
4,202439004,test_2_page_043.jpg,b,❌,d,43
4,202439004,test_2_page_043.jpg,e,❌,b,43
4,202439004,test_2_page_043.jpg,c,❌,b,43
4,202439004,test_2_page_043.jpg,b,❌,e,43
4,202439004,test_2_page_043.jpg,d,❌,c,43
4,202439004,test_2_page_043.jpg,C,✅,c,43
4,202439004,test_2_page_043.jpg,b,❌,d,43
4,202439004,test_2_page_043.jpg,c,❌,d,43
4,202439004,test_2_page_043.jpg,c,❌,b,43
4,202439004,test_2_page_043.jpg,B,✅,b,43
4,202439004,test_2_page_043.jpg,b,❌,d,43
4,202439004,test_2_page_043.jpg,D,✅,d,43
4,202439004,test_2_page_043.jpg,a,❌,d,43
4,202439004,test_2_page_043.jpg,b,❌,d,43
4,202439004,test_2_page_043.jpg,b,❌,d,43
4,202439004,test_2_page_043.jpg,D,✅,d,43
4,202439004,test_2_page_043.jpg,A,✅,a,43
4,202439004,test_2_page_043.jpg,B,✅,b,43
4,202439004,test_2_page_043.jpg,C,✅,c,43
4,202439004,test_2_page_043.jpg,c,❌,b,43
4,202439004,test_2_page_043.jpg,C,✅,c,43
4,202439004,test_2_page_043.jpg,b,❌,d,43
4,202439004,test_2_page_043.jpg,d,❌,b,43
4,202439004,test_2_page_043.jpg,d,❌,c,43
4,202439004,test_2_page_043.jpg,c,❌,b,43
